# q=  0.10000000E-02  0.00000000E+00  0.00000000E+00  (qpt 1)
#ncbands         Re chi(0,0)              extrap   Re chi(Gmax,Gmax)              extrap
       1     -0.89424451E-06      0.00000000E+00     -0.10082662E-04      0.00000000E+00
       2     -0.93850886E-06      0.00000000E+00     -0.23569546E-04      0.00000000E+00
       3     -0.97459687E-06      0.00000000E+00     -0.36109010E-04      0.00000000E+00
       4     -0.98254176E-06      0.00000000E+00     -0.47545106E-04      0.00000000E+00

# q=  0.00000000E+00  0.00000000E+00  0.50000000E+00  (qpt 2)
#ncbands         Re chi(0,0)              extrap   Re chi(Gmax,Gmax)              extrap
       1     -0.48502111E-02      0.00000000E+00     -0.12837969E-04      0.00000000E+00
       2     -0.90295903E-02      0.00000000E+00     -0.21407277E-04      0.00000000E+00
       3     -0.12479887E-01      0.00000000E+00     -0.29169670E-04      0.00000000E+00
       4     -0.15627406E-01      0.00000000E+00     -0.36894496E-04      0.00000000E+00

# q=  0.00000000E+00  0.50000000E+00  0.50000000E+00  (qpt 3)
#ncbands         Re chi(0,0)              extrap   Re chi(Gmax,Gmax)              extrap
       1     -0.57624242E-02      0.00000000E+00     -0.17397469E-04      0.00000000E+00
       2     -0.10818997E-01      0.00000000E+00     -0.30507783E-04      0.00000000E+00
       3     -0.15153236E-01      0.00000000E+00     -0.39136457E-04      0.00000000E+00
       4     -0.19183572E-01      0.00000000E+00     -0.50642261E-04      0.00000000E+00

