# k =  0.00000000E+00  0.00000000E+00  0.00000000E+00 spin= 1
 # n1 <i|Sigma_ch|i> (eV), partial sum
 #      nbands   ch(vbm)          ch(cbm)           diff        converged
       1 -0.68891251E+00 -0.89089906E+00 -0.20198655E+00  0.00000000E+00
       2 -0.85001355E+00 -0.15901518E+01 -0.74013827E+00  0.00000000E+00
       3 -0.11324969E+01 -0.16720504E+01 -0.53955343E+00  0.00000000E+00
       4 -0.45131562E+01 -0.17535185E+01  0.27596376E+01  0.00000000E+00
       5 -0.45827772E+01 -0.47247334E+01 -0.14195618E+00  0.00000000E+00
       6 -0.47105231E+01 -0.48683610E+01 -0.15783789E+00  0.00000000E+00
       7 -0.48123083E+01 -0.49850167E+01 -0.17270844E+00  0.00000000E+00
       8 -0.48918212E+01 -0.51779034E+01 -0.28608218E+00  0.00000000E+00
# k =  0.00000000E+00  0.00000000E+00  0.50000000E+00 spin= 1
 # n1 <i|Sigma_ch|i> (eV), partial sum
 #      nbands   ch(vbm)          ch(cbm)           diff        converged
       1 -0.58747429E+00 -0.49232786E+00  0.95146430E-01  0.00000000E+00
       2 -0.91552675E+00 -0.11936586E+01 -0.27813182E+00  0.00000000E+00
       3 -0.12994660E+01 -0.13193760E+01 -0.19910087E-01  0.00000000E+00
       4 -0.42747751E+01 -0.14860902E+01  0.27886849E+01  0.00000000E+00
       5 -0.43720047E+01 -0.41496266E+01  0.22237812E+00  0.00000000E+00
       6 -0.44414962E+01 -0.44322879E+01  0.92082954E-02  0.00000000E+00
       7 -0.45436841E+01 -0.46392109E+01 -0.95526785E-01  0.00000000E+00
       8 -0.47107206E+01 -0.47732987E+01 -0.62578107E-01  0.00000000E+00
# k =  0.00000000E+00  0.50000000E+00  0.50000000E+00 spin= 1
 # n1 <i|Sigma_ch|i> (eV), partial sum
 #      nbands   ch(vbm)          ch(cbm)           diff        converged
       1 -0.52753933E+00 -0.34791658E+00  0.17962275E+00  0.00000000E+00
       2 -0.10867025E+01 -0.84141107E+00  0.24529139E+00  0.00000000E+00
       3 -0.15897476E+01 -0.93867003E+00  0.65107756E+00  0.00000000E+00
       4 -0.40833618E+01 -0.11176388E+01  0.29657230E+01  0.00000000E+00
       5 -0.42076635E+01 -0.38232111E+01  0.38445234E+00  0.00000000E+00
       6 -0.43898233E+01 -0.39646651E+01  0.42515820E+00  0.00000000E+00
       7 -0.45914247E+01 -0.41068324E+01  0.48459234E+00  0.00000000E+00
       8 -0.46755822E+01 -0.44266351E+01  0.24894713E+00  0.00000000E+00
