# spin    band          kx          ky          kz          E(MF)          E(QP)        Delta E
#                        (Cartesian coordinates)             (eV)           (eV)           (eV)
     1       1     0.14644     0.14762     0.14762   -6.820155277   -7.041649565   -0.221494288
     1       1    -0.14762    -0.14644     0.44168   -5.450949707   -5.498569296   -0.047619589
     1       1    -0.14762     0.44168    -0.14644   -5.450949707   -5.498569296   -0.047619589
     1       1    -0.44168     0.14762     0.14762   -5.450382678   -5.497926659   -0.047543980
     1       1     0.44050    -0.14644    -0.14644   -5.457571847   -5.505359338   -0.047787491
     1       1     0.14644    -0.44050     0.14762   -5.456967354   -5.504681200   -0.047713847
     1       1     0.14644     0.14762    -0.44050   -5.456967354   -5.504681200   -0.047713847
     1       1    -0.14762    -0.14644    -0.14644   -6.823583143   -7.045093783   -0.221510639
     1       2     0.14644     0.14762     0.14762    1.207733337    1.695991238    0.488257901
     1       2    -0.14762    -0.14644     0.44168   -1.053254864   -0.851866563    0.201388301
     1       2    -0.14762     0.44168    -0.14644   -1.053254864   -0.851866563    0.201388301
     1       2    -0.44168     0.14762     0.14762   -1.056458352   -0.855110767    0.201347584
     1       2     0.44050    -0.14644    -0.14644   -1.044478528   -0.843044479    0.201434049
     1       2     0.14644    -0.44050     0.14762   -1.047736255   -0.846337921    0.201398334
     1       2     0.14644     0.14762    -0.44050   -1.047736255   -0.846337921    0.201398334
     1       2    -0.14762    -0.14644    -0.14644    1.219265921    1.707663773    0.488397852
     1       3     0.14644     0.14762     0.14762    4.687018538    5.574944079    0.887925542
     1       3    -0.14762    -0.14644     0.44168    1.964993512    2.422877147    0.457883635
     1       3    -0.14762     0.44168    -0.14644    1.964993512    2.422877147    0.457883635
     1       3    -0.44168     0.14762     0.14762    1.964615178    2.422619642    0.458004464
     1       3     0.44050    -0.14644    -0.14644    1.975523677    2.433782684    0.458259007
     1       3     0.14644    -0.44050     0.14762    1.975112271    2.433499898    0.458387627
     1       3     0.14644     0.14762    -0.44050    1.975112271    2.433499898    0.458387627
     1       3    -0.14762    -0.14644    -0.14644    4.689853884    5.577782884    0.887929000
     1       4     0.14644     0.14762     0.14762    4.694789431    5.582718431    0.887929000
     1       4    -0.14762    -0.14644     0.44168    3.154132624    3.865216118    0.711083495
     1       4    -0.14762     0.44168    -0.14644    3.154132624    3.865216118    0.711083495
     1       4    -0.44168     0.14762     0.14762    3.157344216    3.868432216    0.711088000
     1       4     0.44050    -0.14644    -0.14644    3.154878379    3.865966379    0.711088000
     1       4     0.14644    -0.44050     0.14762    3.158019570    3.869102984    0.711083414
     1       4     0.14644     0.14762    -0.44050    3.158019570    3.869102984    0.711083414
     1       4    -0.14762    -0.14644    -0.14644    4.697450145    5.585375668    0.887925524
     1       5     0.14703     0.14703     0.14703    6.963706410    8.880832570    1.917126160
     1       5    -0.14703    -0.14703     0.44109    7.747556140    9.473014585    1.725458445
     1       5    -0.14703     0.44109    -0.14703    7.747556140    9.473014585    1.725458445
     1       5    -0.44109     0.14703     0.14703    7.747556140    9.473014585    1.725458445
     1       5     0.44109    -0.14703    -0.14703    7.747556140    9.473014585    1.725458445
     1       5     0.14703    -0.44109     0.14703    7.747556140    9.473014585    1.725458445
     1       5     0.14703     0.14703    -0.44109    7.747556140    9.473014585    1.725458445
     1       5    -0.14703    -0.14703    -0.14703    6.963706410    8.880832570    1.917126160
     1       6     0.14703     0.14703     0.14703   10.100405036   12.068596036    1.968191000
     1       6    -0.14703    -0.14703     0.44109   10.220083998   11.958416734    1.738332737
     1       6    -0.14703     0.44109    -0.14703   10.220083998   11.958416734    1.738332737
     1       6    -0.44109     0.14703     0.14703   10.220083998   11.958416734    1.738332737
     1       6     0.44109    -0.14703    -0.14703   10.220083998   11.958416734    1.738332737
     1       6     0.14703    -0.44109     0.14703   10.220083998   11.958416734    1.738332737
     1       6     0.14703     0.14703    -0.44109   10.220083998   11.958416734    1.738332737
     1       6    -0.14703    -0.14703    -0.14703   10.100405036   12.068596036    1.968191000
     1       7     0.14703     0.14703     0.14703   10.100405036   12.068596036    1.968191000
     1       7    -0.14703    -0.14703     0.44109   11.995732337   13.966109640    1.970377304
     1       7    -0.14703     0.44109    -0.14703   11.995732337   13.966109640    1.970377304
     1       7    -0.44109     0.14703     0.14703   11.995732337   13.966109640    1.970377304
     1       7     0.44109    -0.14703    -0.14703   11.995732337   13.966109640    1.970377304
     1       7     0.14703    -0.44109     0.14703   11.995732337   13.966109640    1.970377303
     1       7     0.14703     0.14703    -0.44109   11.995732337   13.966109640    1.970377304
     1       7    -0.14703    -0.14703    -0.14703   10.100405036   12.068596036    1.968191000
     1       8     0.14703     0.14703     0.14703   11.573187728   13.423005108    1.849817381
     1       8    -0.14703    -0.14703     0.44109   12.721293356   15.071185356    2.349892000
     1       8    -0.14703     0.44109    -0.14703   12.721293356   15.071185356    2.349892000
     1       8    -0.44109     0.14703     0.14703   12.721293356   15.071185356    2.349892000
     1       8     0.44109    -0.14703    -0.14703   12.721293356   15.071185356    2.349892000
     1       8     0.14703    -0.44109     0.14703   12.721293356   15.071185356    2.349892000
     1       8     0.14703     0.14703    -0.44109   12.721293356   15.071185356    2.349892000
     1       8    -0.14703    -0.14703    -0.14703   11.573187728   13.423005108    1.849817381
