# q=  0.10000000E-02  0.00000000E+00  0.00000000E+00  (qpt 1)
#ncbands         Re chi(0,0)              extrap   Re chi(Gmax,Gmax)              extrap
       1     -0.89425432E-06      0.00000000E+00     -0.10082645E-04      0.00000000E+00
       2     -0.93692538E-06      0.00000000E+00     -0.23564055E-04      0.00000000E+00
       3     -0.97460696E-06      0.00000000E+00     -0.36108979E-04      0.00000000E+00
       4     -0.98255184E-06      0.00000000E+00     -0.47545054E-04      0.00000000E+00

# q=  0.00000000E+00  0.00000000E+00  0.50000000E+00  (qpt 2)
#ncbands         Re chi(0,0)              extrap   Re chi(Gmax,Gmax)              extrap
       1     -0.48502152E-02      0.00000000E+00     -0.12837992E-04      0.00000000E+00
       2     -0.89583989E-02      0.00000000E+00     -0.21568831E-04      0.00000000E+00
       3     -0.12479900E-01      0.00000000E+00     -0.29169677E-04      0.00000000E+00
       4     -0.15627423E-01      0.00000000E+00     -0.36894492E-04      0.00000000E+00

# q=  0.00000000E+00  0.50000000E+00  0.50000000E+00  (qpt 3)
#ncbands         Re chi(0,0)              extrap   Re chi(Gmax,Gmax)              extrap
       1     -0.57624298E-02      0.00000000E+00     -0.17397444E-04      0.00000000E+00
       2     -0.11383926E-01      0.00000000E+00     -0.32330677E-04      0.00000000E+00
       3     -0.15153252E-01      0.00000000E+00     -0.39136364E-04      0.00000000E+00
       4     -0.19183595E-01      0.00000000E+00     -0.50642120E-04      0.00000000E+00

