# k =  0.00000000E+00  0.00000000E+00  0.00000000E+00 spin= 1
 # n1 <i|Sigma_ch|i> (eV), partial sum
 #      nbands   ch(vbm)          ch(cbm)           diff        converged
       1 -0.62080328E+00 -0.89089658E+00 -0.27009330E+00  0.00000000E+00
       2 -0.69135123E+00 -0.15900476E+01 -0.89869639E+00  0.00000000E+00
       3 -0.16740462E+01 -0.16717415E+01  0.23046857E-02  0.00000000E+00
       4 -0.44750342E+01 -0.17535192E+01  0.27215150E+01  0.00000000E+00
       5 -0.45232660E+01 -0.47247360E+01 -0.20146995E+00  0.00000000E+00
       6 -0.46426953E+01 -0.48682839E+01 -0.22558866E+00  0.00000000E+00
       7 -0.47386271E+01 -0.49849726E+01 -0.24634547E+00  0.00000000E+00
       8 -0.48592848E+01 -0.51779061E+01 -0.31862129E+00  0.00000000E+00
# k =  0.00000000E+00  0.00000000E+00  0.50000000E+00 spin= 1
 # n1 <i|Sigma_ch|i> (eV), partial sum
 #      nbands   ch(vbm)          ch(cbm)           diff        converged
       1 -0.59479750E+00 -0.49232835E+00  0.10246915E+00  0.00000000E+00
       2 -0.10173100E+01 -0.11906530E+01 -0.17334303E+00  0.00000000E+00
       3 -0.16824310E+01 -0.12681480E+01  0.41428296E+00  0.00000000E+00
       4 -0.42754479E+01 -0.14860921E+01  0.27893558E+01  0.00000000E+00
       5 -0.43751709E+01 -0.41496301E+01  0.22554086E+00  0.00000000E+00
       6 -0.44742767E+01 -0.43255735E+01  0.14870316E+00  0.00000000E+00
       7 -0.46386985E+01 -0.45469878E+01  0.91710745E-01  0.00000000E+00
       8 -0.47092504E+01 -0.47733028E+01 -0.64052431E-01  0.00000000E+00
# k =  0.00000000E+00  0.50000000E+00  0.50000000E+00 spin= 1
 # n1 <i|Sigma_ch|i> (eV), partial sum
 #      nbands   ch(vbm)          ch(cbm)           diff        converged
       1 -0.49490695E+00 -0.34791773E+00  0.14698921E+00  0.00000000E+00
       2 -0.73337105E+00 -0.84865292E+00 -0.11528187E+00  0.00000000E+00
       3 -0.14691156E+01 -0.95008161E+00  0.51903400E+00  0.00000000E+00
       4 -0.40578369E+01 -0.11176434E+01  0.29401935E+01  0.00000000E+00
       5 -0.41445192E+01 -0.38232176E+01  0.32130161E+00  0.00000000E+00
       6 -0.45322922E+01 -0.38931842E+01  0.63910798E+00  0.00000000E+00
       7 -0.46537010E+01 -0.41357652E+01  0.51793577E+00  0.00000000E+00
       8 -0.47343291E+01 -0.44266414E+01  0.30768770E+00  0.00000000E+00
