# spin    band          kx          ky          kz          E(MF)          E(QP)        Delta E
#                        (Cartesian coordinates)             (eV)           (eV)           (eV)
     1       1    -0.00059     0.00059     0.00059   -7.528386573   -7.931879387   -0.403492815
     1       1     0.14644     0.14762    -0.14644   -6.823571707   -7.045078048   -0.221506341
     1       1    -0.29465    -0.29347     0.29465   -5.799379244   -5.905548705   -0.106169461
     1       1    -0.14762    -0.14644     0.14762   -6.820143835   -7.041633822   -0.221489987
     1       1     0.14644    -0.14644     0.14762   -6.823571707   -7.045078048   -0.221506341
     1       1     0.29347     0.00059     0.00059   -6.605013989   -6.812991505   -0.207977516
     1       1     0.44050     0.14762    -0.14644   -5.456951273   -5.504658684   -0.047707411
     1       1    -0.00059    -0.29347     0.29465   -5.883282905   -5.932717050   -0.049434144
     1       1    -0.29465     0.29465    -0.29347   -5.799379244   -5.905548705   -0.106169461
     1       1     0.44050    -0.14644     0.14762   -5.456951273   -5.504658684   -0.047707411
     1       1    -0.58870     0.00059     0.00059   -4.813477535   -4.905409717   -0.091932182
     1       1    -0.44168     0.14762    -0.14644   -5.450933595   -5.498546736   -0.047613141
     1       1    -0.14762     0.14762    -0.14644   -6.820143835   -7.041633822   -0.221489987
     1       1    -0.00059     0.29465    -0.29347   -5.883282905   -5.932717050   -0.049434144
     1       1    -0.44168    -0.14644     0.14762   -5.450933595   -5.498546736   -0.047613141
     1       1    -0.29465     0.00059     0.00059   -6.597931257   -6.805846607   -0.207915349
     1       1    -0.14762     0.14762     0.14762   -6.816719454   -7.038192981   -0.221473527
     1       1    -0.00059     0.29465     0.00059   -6.597931257   -6.805846607   -0.207915349
     1       1     0.14644     0.44168    -0.14644   -5.451518073   -5.499206002   -0.047687929
     1       1    -0.29465     0.00059     0.29465   -5.878231294   -5.927608983   -0.049377689
     1       1    -0.00059     0.00059     0.29465   -6.597931257   -6.805846607   -0.207915349
     1       1     0.14644     0.14762     0.14762   -6.820143835   -7.041633822   -0.221489987
     1       1     0.29347     0.29465     0.00059   -5.883282905   -5.932717050   -0.049434144
     1       1    -0.14762    -0.14644     0.44168   -5.450933595   -5.498546736   -0.047613141
     1       1     0.14644    -0.14644     0.44168   -5.451518073   -5.499206002   -0.047687929
     1       1     0.29347     0.00059     0.29465   -5.883282905   -5.932717050   -0.049434144
     1       1     0.44050     0.14762     0.14762   -5.456364133   -5.503997076   -0.047632943
     1       1    -0.00059    -0.29347     0.58870   -4.848530486   -4.840193529    0.008336958
     1       1    -0.29465     0.29465     0.00059   -5.878231294   -5.927608983   -0.049377689
     1       1    -0.14762     0.44168    -0.14644   -5.450933595   -5.498546736   -0.047613141
     1       1    -0.58870     0.00059     0.29465   -4.848530486   -4.840193529    0.008336958
     1       1    -0.44168     0.14762     0.14762   -5.450366561   -5.497904089   -0.047537528
     1       1     0.29347    -0.29347    -0.29347   -5.799414427   -5.905582374   -0.106167947
     1       1    -0.14762     0.44168     0.14762   -5.450366561   -5.497904089   -0.047537528
     1       1    -0.00059    -0.58753     0.00059   -4.813477535   -4.905409717   -0.091932182
     1       1     0.14644    -0.44050    -0.14644   -5.457555772   -5.505336832   -0.047781060
     1       1    -0.14762     0.14762     0.44168   -5.450366561   -5.497904089   -0.047537528
     1       1    -0.00059     0.29465     0.29465   -5.878231294   -5.927608983   -0.049377689
     1       1     0.14644     0.44168     0.14762   -5.450933595   -5.498546736   -0.047613141
     1       1    -0.29465     0.00059     0.58870   -4.848530486   -4.840193529    0.008336958
     1       1    -0.00059     0.00059    -0.58753   -4.813477535   -4.905409717   -0.091932182
     1       1     0.14644     0.14762     0.44168   -5.450933595   -5.498546736   -0.047613141
     1       1    -0.29465    -0.29347    -0.29347   -5.799379244   -5.905548705   -0.106169461
     1       1    -0.14762    -0.14644    -0.44050   -5.456951273   -5.504658684   -0.047707411
     1       1     0.14644    -0.14644    -0.44050   -5.457555772   -5.505336832   -0.047781060
     1       1    -0.29465     0.58870     0.00059   -4.848530486   -4.840193529    0.008336958
     1       1    -0.14762    -0.44050    -0.14644   -5.456951273   -5.504658684   -0.047707411
     1       1    -0.00059    -0.29347    -0.29347   -5.888351911   -5.937841632   -0.049489720
     1       1     0.14644    -0.14644    -0.14644   -6.827003053   -7.048525642   -0.221522589
     1       1     0.29347     0.00059    -0.29347   -5.888351911   -5.937841632   -0.049489720
     1       1    -0.14762    -0.44050     0.14762   -5.456364133   -5.503997076   -0.047632943
     1       1    -0.00059    -0.29347     0.00059   -6.605013989   -6.812991505   -0.207977516
     1       1     0.29347    -0.29347     0.00059   -5.888351911   -5.937841632   -0.049489720
     1       1     0.44050    -0.14644    -0.14644   -5.457555772   -5.505336832   -0.047781060
     1       1    -0.00059    -0.58753     0.29465   -4.848530486   -4.840193529    0.008336958
     1       1     0.14644    -0.44050     0.14762   -5.456951273   -5.504658684   -0.047707411
     1       1    -0.14762     0.14762    -0.44050   -5.456364133   -5.503997076   -0.047632943
     1       1     0.58753    -0.29347     0.00059   -4.848530486   -4.840193529    0.008336958
