 -------  Norm of dcc matrices : Spins =            1  -------
           k-point           ik_co    c   dist    |dcc|^2      
---------------------------------------------------------------
 (  0.000 ,  0.000 ,  0.000 )    1    1  0.000   1.000000
 (  0.000 ,  0.000 ,  0.000 )    1    2  0.000   1.000000
 (  0.000 ,  0.000 ,  0.000 )    1    3  0.000   1.000000
 (  0.000 ,  0.000 ,  0.000 )    1    4  0.000   1.000000
 (  0.000 ,  0.000 ,  0.250 )    2    1  0.255   0.936709
 (  0.000 ,  0.000 ,  0.250 )    2    2  0.255   0.808233
 (  0.000 ,  0.000 ,  0.250 )    2    3  0.255   0.808233
 (  0.000 ,  0.000 ,  0.250 )    2    4  0.255   0.198237
 (  0.000 ,  0.000 , -0.500 )    2    1  0.000   1.000000
 (  0.000 ,  0.000 , -0.500 )    2    2  0.000   1.000000
 (  0.000 ,  0.000 , -0.500 )    2    3  0.000   1.000000
 (  0.000 ,  0.000 , -0.500 )    2    4  0.000   1.000000
 (  0.000 ,  0.000 , -0.250 )    1    1  0.255   0.826842
 (  0.000 ,  0.000 , -0.250 )    1    2  0.255   0.742891
 (  0.000 ,  0.000 , -0.250 )    1    3  0.255   0.742891
 (  0.000 ,  0.000 , -0.250 )    1    4  0.255   0.357493
 (  0.000 ,  0.250 ,  0.000 )    1    1  0.255   0.826842
 (  0.000 ,  0.250 ,  0.000 )    1    2  0.255   0.742891
 (  0.000 ,  0.250 ,  0.000 )    1    3  0.255   0.742891
 (  0.000 ,  0.250 ,  0.000 )    1    4  0.255   0.357493
 (  0.000 ,  0.250 ,  0.250 )    1    1  0.294   0.661380
 (  0.000 ,  0.250 ,  0.250 )    1    2  0.294   0.505117
 (  0.000 ,  0.250 ,  0.250 )    1    3  0.294   0.528999
 (  0.000 ,  0.250 ,  0.250 )    1    4  0.294   0.528999
 (  0.000 ,  0.250 ,  0.500 )    2    1  0.255   0.960057
 (  0.000 ,  0.250 ,  0.500 )    2    2  0.255   0.250482
 (  0.000 ,  0.250 ,  0.500 )    2    3  0.255   0.510635
 (  0.000 ,  0.250 ,  0.500 )    2    4  0.255   0.793776
 (  0.000 ,  0.250 , -0.250 )    5    1  0.294   0.841276
 (  0.000 ,  0.250 , -0.250 )    5    2  0.294   0.485003
 (  0.000 ,  0.250 , -0.250 )    5    3  0.294   0.505921
 (  0.000 ,  0.250 , -0.250 )    5    4  0.294   0.404712
 (  0.000 , -0.500 ,  0.000 )    5    1  0.000   1.000000
 (  0.000 , -0.500 ,  0.000 )    5    2  0.000   1.000000
 (  0.000 , -0.500 ,  0.000 )    5    3  0.000   1.000000
 (  0.000 , -0.500 ,  0.000 )    5    4  0.000   1.000000
 (  0.000 ,  0.500 ,  0.250 )    5    1  0.255   0.960057
 (  0.000 ,  0.500 ,  0.250 )    5    2  0.255   0.250482
 (  0.000 ,  0.500 ,  0.250 )    5    3  0.255   0.510635
 (  0.000 ,  0.500 ,  0.250 )    5    4  0.255   0.793776
 (  0.000 , -0.500 , -0.500 )    6    1  0.000   1.000000
 (  0.000 , -0.500 , -0.500 )    6    2  0.000   1.000000
 (  0.000 , -0.500 , -0.500 )    6    3  0.000   1.000000
 (  0.000 , -0.500 , -0.500 )    6    4  0.000   1.000000
 (  0.000 , -0.500 , -0.250 )    5    1  0.255   0.960057
 (  0.000 , -0.500 , -0.250 )    5    2  0.255   0.250482
 (  0.000 , -0.500 , -0.250 )    5    3  0.255   0.510635
 (  0.000 , -0.500 , -0.250 )    5    4  0.255   0.793776
 (  0.000 , -0.250 ,  0.000 )    1    1  0.255   0.826842
 (  0.000 , -0.250 ,  0.000 )    1    2  0.255   0.742891
 (  0.000 , -0.250 ,  0.000 )    1    3  0.255   0.742891
 (  0.000 , -0.250 ,  0.000 )    1    4  0.255   0.357493
 (  0.000 , -0.250 ,  0.250 )    2    1  0.294   0.841276
 (  0.000 , -0.250 ,  0.250 )    2    2  0.294   0.485003
 (  0.000 , -0.250 ,  0.250 )    2    3  0.294   0.505921
 (  0.000 , -0.250 ,  0.250 )    2    4  0.294   0.404712
 (  0.000 , -0.250 , -0.500 )    2    1  0.255   0.960057
 (  0.000 , -0.250 , -0.500 )    2    2  0.255   0.250482
 (  0.000 , -0.250 , -0.500 )    2    3  0.255   0.510635
