# k =  0.00000000E+00  0.00000000E+00  0.00000000E+00 spin= 1
 # n1 <i|Sigma_ch|i> (eV), partial sum
 #      nbands   ch(vbm)          ch(cbm)           diff        converged
       1 -0.33946359E+00 -0.11593394E+01 -0.81987580E+00  0.00000000E+00
       2 -0.45413899E+00 -0.17455028E+01 -0.12913639E+01  0.00000000E+00
       3 -0.52374009E+00 -0.18193968E+01 -0.12956567E+01  0.00000000E+00
       4 -0.43415805E+01 -0.18933115E+01  0.24482691E+01  0.00000000E+00
       5 -0.43855515E+01 -0.48686567E+01 -0.48310519E+00  0.00000000E+00
       6 -0.44532358E+01 -0.49946561E+01 -0.54142032E+00  0.00000000E+00
       7 -0.45400543E+01 -0.51202938E+01 -0.58023954E+00  0.00000000E+00
       8 -0.46820789E+01 -0.53494533E+01 -0.66737442E+00  0.00000000E+00
# k =  0.00000000E+00  0.00000000E+00  0.50000000E+00 spin= 1
 # n1 <i|Sigma_ch|i> (eV), partial sum
 #      nbands   ch(vbm)          ch(cbm)           diff        converged
       1 -0.64456755E+00 -0.56432744E+00  0.80240102E-01  0.00000000E+00
       2 -0.95615244E+00 -0.12481941E+01 -0.29204164E+00  0.00000000E+00
       3 -0.10878010E+01 -0.14682987E+01 -0.38049763E+00  0.00000000E+00
       4 -0.43806967E+01 -0.15154426E+01  0.28652541E+01  0.00000000E+00
       5 -0.44436858E+01 -0.41923988E+01  0.25128700E+00  0.00000000E+00
       6 -0.45538640E+01 -0.45782294E+01 -0.24365457E-01  0.00000000E+00
       7 -0.48107879E+01 -0.47441562E+01  0.66631666E-01  0.00000000E+00
       8 -0.49143818E+01 -0.48282393E+01  0.86142474E-01  0.00000000E+00
# k =  0.00000000E+00  0.50000000E+00  0.50000000E+00 spin= 1
 # n1 <i|Sigma_ch|i> (eV), partial sum
 #      nbands   ch(vbm)          ch(cbm)           diff        converged
       1 -0.45715985E+00 -0.31675982E+00  0.14040003E+00  0.00000000E+00
       2 -0.70330386E+00 -0.82034242E+00 -0.11703856E+00  0.00000000E+00
       3 -0.78929034E+00 -0.97949392E+00 -0.19020358E+00  0.00000000E+00
       4 -0.41749685E+01 -0.10696455E+01  0.31053231E+01  0.00000000E+00
       5 -0.42577852E+01 -0.38162181E+01  0.44156713E+00  0.00000000E+00
       6 -0.43502992E+01 -0.40465079E+01  0.30379131E+00  0.00000000E+00
       7 -0.47748943E+01 -0.41280307E+01  0.64686360E+00  0.00000000E+00
       8 -0.48949142E+01 -0.44985347E+01  0.39637956E+00  0.00000000E+00
