# q=  0.10000000E-02  0.00000000E+00  0.00000000E+00  (qpt 1)
#ncbands         Re chi(0,0)              extrap   Re chi(Gmax,Gmax)              extrap
       1     -0.10897493E-05      0.00000000E+00     -0.11349857E-04      0.00000000E+00
       2     -0.11300779E-05      0.00000000E+00     -0.29386852E-04      0.00000000E+00
       3     -0.11666183E-05      0.00000000E+00     -0.42300497E-04      0.00000000E+00
       4     -0.11740305E-05      0.00000000E+00     -0.59012608E-04      0.00000000E+00

# q=  0.00000000E+00  0.00000000E+00  0.50000000E+00  (qpt 2)
#ncbands         Re chi(0,0)              extrap   Re chi(Gmax,Gmax)              extrap
       1     -0.54434357E-02      0.00000000E+00     -0.85149770E-05      0.00000000E+00
       2     -0.97739944E-02      0.00000000E+00     -0.19032731E-04      0.00000000E+00
       3     -0.13680139E-01      0.00000000E+00     -0.25437199E-04      0.00000000E+00
       4     -0.17127087E-01      0.00000000E+00     -0.34510932E-04      0.00000000E+00

# q=  0.00000000E+00  0.50000000E+00  0.50000000E+00  (qpt 3)
#ncbands         Re chi(0,0)              extrap   Re chi(Gmax,Gmax)              extrap
       1     -0.66657070E-02      0.00000000E+00     -0.17714064E-04      0.00000000E+00
       2     -0.12626229E-01      0.00000000E+00     -0.39516476E-04      0.00000000E+00
       3     -0.16643447E-01      0.00000000E+00     -0.48870209E-04      0.00000000E+00
       4     -0.20766100E-01      0.00000000E+00     -0.66133481E-04      0.00000000E+00

