# k =  0.00000000E+00  0.00000000E+00  0.00000000E+00 spin= 1
 # n1 <i|Sigma_ch|i> (eV), partial sum
 #      nbands   ch(vbm)          ch(cbm)           diff        converged
       1 -0.33946329E+00 -0.11593394E+01 -0.81987610E+00  0.00000000E+00
       2 -0.45413806E+00 -0.17455028E+01 -0.12913648E+01  0.00000000E+00
       3 -0.52373970E+00 -0.18193968E+01 -0.12956571E+01  0.00000000E+00
       4 -0.43415802E+01 -0.18933115E+01  0.24482687E+01  0.00000000E+00
       5 -0.43855511E+01 -0.48686567E+01 -0.48310557E+00  0.00000000E+00
       6 -0.44532355E+01 -0.49946561E+01 -0.54142055E+00  0.00000000E+00
       7 -0.45400535E+01 -0.51202938E+01 -0.58024027E+00  0.00000000E+00
       8 -0.46820784E+01 -0.53494533E+01 -0.66737485E+00  0.00000000E+00
# k =  0.00000000E+00  0.00000000E+00  0.50000000E+00 spin= 1
 # n1 <i|Sigma_ch|i> (eV), partial sum
 #      nbands   ch(vbm)          ch(cbm)           diff        converged
       1 -0.64456769E+00 -0.56432744E+00  0.80240248E-01  0.00000000E+00
       2 -0.95615268E+00 -0.12481938E+01 -0.29204114E+00  0.00000000E+00
       3 -0.10878012E+01 -0.14682987E+01 -0.38049754E+00  0.00000000E+00
       4 -0.43806968E+01 -0.15154426E+01  0.28652542E+01  0.00000000E+00
       5 -0.44436858E+01 -0.41923987E+01  0.25128706E+00  0.00000000E+00
       6 -0.45538642E+01 -0.45782293E+01 -0.24365087E-01  0.00000000E+00
       7 -0.48107883E+01 -0.47441572E+01  0.66631167E-01  0.00000000E+00
       8 -0.49143819E+01 -0.48282393E+01  0.86142546E-01  0.00000000E+00
# k =  0.00000000E+00  0.50000000E+00  0.50000000E+00 spin= 1
 # n1 <i|Sigma_ch|i> (eV), partial sum
 #      nbands   ch(vbm)          ch(cbm)           diff        converged
       1 -0.45715971E+00 -0.31675982E+00  0.14039989E+00  0.00000000E+00
       2 -0.70330394E+00 -0.82034291E+00 -0.11703897E+00  0.00000000E+00
       3 -0.78929038E+00 -0.97949388E+00 -0.19020350E+00  0.00000000E+00
       4 -0.41749685E+01 -0.10696455E+01  0.31053230E+01  0.00000000E+00
       5 -0.42577852E+01 -0.38162181E+01  0.44156708E+00  0.00000000E+00
       6 -0.43502995E+01 -0.40465079E+01  0.30379165E+00  0.00000000E+00
       7 -0.47748941E+01 -0.41280312E+01  0.64686290E+00  0.00000000E+00
       8 -0.48949141E+01 -0.44985347E+01  0.39637945E+00  0.00000000E+00
