# spin    band          kx          ky          kz          E(MF)          E(QP)        Delta E
#                        (Cartesian coordinates)             (eV)           (eV)           (eV)
     1       1     0.14644     0.14762     0.14762  -12.099767419  -11.122400221    0.977367199
     1       1    -0.14762    -0.14644     0.44168  -10.853156895   -9.555268589    1.297888306
     1       1    -0.14762     0.44168    -0.14644  -10.853156895   -9.555268589    1.297888306
     1       1    -0.44168     0.14762     0.14762  -10.852693565   -9.554778575    1.297914990
     1       1     0.44050    -0.14644    -0.14644  -10.858781218   -9.561129988    1.297651231
     1       1     0.14644    -0.44050     0.14762  -10.858285328   -9.560607076    1.297678253
     1       1     0.14644     0.14762    -0.44050  -10.858285328   -9.560607076    1.297678253
     1       1    -0.14762    -0.14644    -0.14644  -12.102845506  -11.125568151    0.977277356
     1       2     0.14644     0.14762     0.14762   -4.314646336   -2.680799471    1.633846866
     1       2    -0.14762    -0.14644     0.44168   -6.340780219   -4.990735481    1.350044738
     1       2    -0.14762     0.44168    -0.14644   -6.340780219   -4.990735481    1.350044738
     1       2    -0.44168     0.14762     0.14762   -6.343162792   -4.993382694    1.349780097
     1       2     0.44050    -0.14644    -0.14644   -6.333455781   -4.983285160    1.350170621
     1       2     0.14644    -0.44050     0.14762   -6.335884339   -4.985977664    1.349906675
     1       2     0.14644     0.14762    -0.44050   -6.335884339   -4.985977664    1.349906675
     1       2    -0.14762    -0.14644    -0.14644   -4.304328967   -2.670257427    1.634071540
     1       3     0.14644     0.14762     0.14762   -0.917487389    1.091295235    2.008782624
     1       3    -0.14762    -0.14644     0.44168   -3.361888037   -1.781898176    1.579989861
     1       3    -0.14762     0.44168    -0.14644   -3.361888037   -1.781898176    1.579989861
     1       3    -0.44168     0.14762     0.14762   -3.362692894   -1.782195081    1.580497813
     1       3     0.44050    -0.14644    -0.14644   -3.352174542   -1.771907235    1.580267307
     1       3     0.14644    -0.44050     0.14762   -3.353011099   -1.772232759    1.580778341
     1       3     0.14644     0.14762    -0.44050   -3.353011099   -1.772232758    1.580778341
     1       3    -0.14762    -0.14644    -0.14644   -0.915533699    1.093252877    2.008786576
     1       4     0.14644     0.14762     0.14762   -0.911283134    1.097503442    2.008786576
     1       4    -0.14762    -0.14644     0.44168   -2.131422522   -0.380356537    1.751065984
     1       4    -0.14762     0.44168    -0.14644   -2.131422522   -0.380356538    1.751065984
     1       4    -0.44168     0.14762     0.14762   -2.128719157   -0.377651264    1.751067893
     1       4     0.44050    -0.14644    -0.14644   -2.130981328   -0.379913435    1.751067893
     1       4     0.14644    -0.44050     0.14762   -2.128350278   -0.377284322    1.751065956
     1       4     0.14644     0.14762    -0.44050   -2.128350278   -0.377284322    1.751065956
     1       4    -0.14762    -0.14644    -0.14644   -0.909500010    1.099282596    2.008782606
     1       5     0.14703     0.14703     0.14703    1.193064763    4.528836482    3.335771719
     1       5    -0.14703    -0.14703     0.44109    1.688364679    4.346582813    2.658218135
     1       5    -0.14703     0.44109    -0.14703    1.688364679    4.346582813    2.658218135
     1       5    -0.44109     0.14703     0.14703    1.688364679    4.346582813    2.658218134
     1       5     0.44109    -0.14703    -0.14703    1.688364679    4.346582813    2.658218134
     1       5     0.14703    -0.44109     0.14703    1.688364679    4.346582813    2.658218134
     1       5     0.14703     0.14703    -0.44109    1.688364679    4.346582813    2.658218135
     1       5    -0.14703    -0.14703    -0.14703    1.193064763    4.528836483    3.335771719
     1       6     0.14703     0.14703     0.14703    4.168214622    7.072945013    2.904730391
     1       6    -0.14703    -0.14703     0.44109    4.294928860    6.924709057    2.629780197
     1       6    -0.14703     0.44109    -0.14703    4.294928860    6.924709065    2.629780204
     1       6    -0.44109     0.14703     0.14703    4.294928861    6.924709062    2.629780201
     1       6     0.44109    -0.14703    -0.14703    4.294928861    6.924709058    2.629780197
     1       6     0.14703    -0.44109     0.14703    4.294928860    6.924709056    2.629780196
     1       6     0.14703     0.14703    -0.44109    4.294928860    6.924709061    2.629780201
     1       6    -0.14703    -0.14703    -0.14703    4.168214622    7.072945013    2.904730391
     1       7     0.14703     0.14703     0.14703    4.168214623    7.072945013    2.904730391
     1       7    -0.14703    -0.14703     0.44109    5.660697538    8.835303439    3.174605901
     1       7    -0.14703     0.44109    -0.14703    5.660697538    8.835303437    3.174605899
     1       7    -0.44109     0.14703     0.14703    5.660697538    8.835303436    3.174605898
     1       7     0.44109    -0.14703    -0.14703    5.660697538    8.835303436    3.174605897
     1       7     0.14703    -0.44109     0.14703    5.660697538    8.835303436    3.174605898
     1       7     0.14703     0.14703    -0.44109    5.660697538    8.835303435    3.174605897
     1       7    -0.14703    -0.14703    -0.14703    4.168214623    7.072945013    2.904730391
     1       8     0.14703     0.14703     0.14703    5.602079212    8.757708736    3.155629524
     1       8    -0.14703    -0.14703     0.44109    6.379645605    9.722294433    3.342648828
     1       8    -0.14703     0.44109    -0.14703    6.379645605    9.722294433    3.342648828
     1       8    -0.44109     0.14703     0.14703    6.379645605    9.722294433    3.342648828
     1       8     0.44109    -0.14703    -0.14703    6.379645605    9.722294433    3.342648828
     1       8     0.14703    -0.44109     0.14703    6.379645605    9.722294433    3.342648828
     1       8     0.14703     0.14703    -0.44109    6.379645605    9.722294433    3.342648828
     1       8    -0.14703    -0.14703    -0.14703    5.602079212    8.757708715    3.155629503
