 -------  Norm of dvv matrices : Spins =            1  -------
           k-point           ik_co    v   dist    |dvv|^2      
---------------------------------------------------------------
 (  0.250 ,  0.250 ,  0.250 )    3    1  0.255   0.950907
 (  0.250 ,  0.250 ,  0.250 )    3    2  0.255   0.950108
 (  0.250 ,  0.250 ,  0.250 )    3    3  0.255   0.967878
 (  0.250 ,  0.250 ,  0.250 )    3    4  0.255   0.991466
 (  0.250 ,  0.250 , -0.250 )    2    1  0.255   0.809104
 (  0.250 ,  0.250 , -0.250 )    2    2  0.255   0.657908
 (  0.250 ,  0.250 , -0.250 )    2    3  0.255   0.930768
 (  0.250 ,  0.250 , -0.250 )    2    4  0.255   0.991654
 (  0.250 , -0.250 ,  0.250 )    7    1  0.255   0.973899
 (  0.250 , -0.250 ,  0.250 )    7    2  0.255   0.758690
 (  0.250 , -0.250 ,  0.250 )    7    3  0.255   0.897511
 (  0.250 , -0.250 ,  0.250 )    7    4  0.255   0.992202
 (  0.250 , -0.250 , -0.250 )    6    1  0.255   0.973707
 (  0.250 , -0.250 , -0.250 )    6    2  0.255   0.758546
 (  0.250 , -0.250 , -0.250 )    6    3  0.255   0.896854
 (  0.250 , -0.250 , -0.250 )    6    4  0.255   0.992130
 ( -0.250 ,  0.250 ,  0.250 )    4    1  0.255   0.809192
 ( -0.250 ,  0.250 ,  0.250 )    4    2  0.255   0.658238
 ( -0.250 ,  0.250 ,  0.250 )    4    3  0.255   0.930668
 ( -0.250 ,  0.250 ,  0.250 )    4    4  0.255   0.991719
 ( -0.250 ,  0.250 , -0.250 )    7    1  0.255   0.973694
 ( -0.250 ,  0.250 , -0.250 )    7    2  0.255   0.759207
 ( -0.250 ,  0.250 , -0.250 )    7    3  0.255   0.896523
 ( -0.250 ,  0.250 , -0.250 )    7    4  0.255   0.992188
 ( -0.250 , -0.250 ,  0.250 )    2    1  0.255   0.809672
 ( -0.250 , -0.250 ,  0.250 )    2    2  0.255   0.657913
 ( -0.250 , -0.250 ,  0.250 )    2    3  0.255   0.931403
 ( -0.250 , -0.250 ,  0.250 )    2    4  0.255   0.991765
 ( -0.250 , -0.250 , -0.250 )    1    1  0.255   0.827556
 ( -0.250 , -0.250 , -0.250 )    1    2  0.255   0.826540
 ( -0.250 , -0.250 , -0.250 )    1    3  0.255   0.540543
 ( -0.250 , -0.250 , -0.250 )    1    4  0.255   0.991555
