# k =  0.00000000E+00  0.00000000E+00  0.00000000E+00 spin= 1
 # n1 <i|Sigma_ch|i> (eV), partial sum
 #      nbands   ch(vbm)          ch(cbm)           diff        converged
       1 -0.33946425E+00 -0.11593394E+01 -0.81987514E+00  0.00000000E+00
       2 -0.45414056E+00 -0.17455028E+01 -0.12913623E+01  0.00000000E+00
       3 -0.52374240E+00 -0.18193968E+01 -0.12956544E+01  0.00000000E+00
       4 -0.43415808E+01 -0.18933115E+01  0.24482694E+01  0.00000000E+00
       5 -0.43855520E+01 -0.48686567E+01 -0.48310472E+00  0.00000000E+00
       6 -0.44532362E+01 -0.49946561E+01 -0.54141983E+00  0.00000000E+00
       7 -0.45400552E+01 -0.51202938E+01 -0.58023861E+00  0.00000000E+00
       8 -0.46820793E+01 -0.53494533E+01 -0.66737399E+00  0.00000000E+00
# k =  0.00000000E+00  0.00000000E+00  0.50000000E+00 spin= 1
 # n1 <i|Sigma_ch|i> (eV), partial sum
 #      nbands   ch(vbm)          ch(cbm)           diff        converged
       1 -0.64456926E+00 -0.56432744E+00  0.80241818E-01  0.00000000E+00
       2 -0.95615592E+00 -0.12481939E+01 -0.29203793E+00  0.00000000E+00
       3 -0.10878041E+01 -0.14682986E+01 -0.38049450E+00  0.00000000E+00
       4 -0.43806973E+01 -0.15154426E+01  0.28652547E+01  0.00000000E+00
       5 -0.44436865E+01 -0.41923987E+01  0.25128773E+00  0.00000000E+00
       6 -0.45538650E+01 -0.45782295E+01 -0.24364555E-01  0.00000000E+00
       7 -0.48107893E+01 -0.47441556E+01  0.66633712E-01  0.00000000E+00
       8 -0.49143826E+01 -0.48282393E+01  0.86143312E-01  0.00000000E+00
# k =  0.00000000E+00  0.50000000E+00  0.50000000E+00 spin= 1
 # n1 <i|Sigma_ch|i> (eV), partial sum
 #      nbands   ch(vbm)          ch(cbm)           diff        converged
       1 -0.45715903E+00 -0.31675982E+00  0.14039921E+00  0.00000000E+00
       2 -0.70330430E+00 -0.82034273E+00 -0.11703843E+00  0.00000000E+00
       3 -0.78929019E+00 -0.97949384E+00 -0.19020365E+00  0.00000000E+00
       4 -0.41749683E+01 -0.10696455E+01  0.31053228E+01  0.00000000E+00
       5 -0.42577849E+01 -0.38162181E+01  0.44156685E+00  0.00000000E+00
       6 -0.43502988E+01 -0.40465080E+01  0.30379082E+00  0.00000000E+00
       7 -0.47748939E+01 -0.41280301E+01  0.64686381E+00  0.00000000E+00
       8 -0.48949136E+01 -0.44985347E+01  0.39637896E+00  0.00000000E+00
