# spin    band          kx          ky          kz          E(MF)          E(QP)        Delta E
#                        (Cartesian coordinates)             (eV)           (eV)           (eV)
     1       1    -0.00059     0.00059     0.00059  -12.735443376  -12.008405640    0.727037736
     1       1     0.14644     0.14762    -0.14644  -12.102845506  -11.125568150    0.977277356
     1       1     0.29347     0.29465    -0.29347  -11.144904922   -9.945074774    1.199830149
     1       1    -0.14762    -0.14644     0.14762  -12.099767419  -11.122400221    0.977367199
     1       1     0.14644    -0.14644     0.14762  -12.102845506  -11.125568151    0.977277356
     1       1     0.29347     0.00059     0.00059  -11.886946717  -10.831262660    1.055684058
     1       1     0.44050     0.14762    -0.14644  -10.858285328   -9.560607076    1.297678253
     1       1    -0.00059    -0.29347     0.29465  -11.235451312  -10.012016034    1.223435278
     1       1     0.29347    -0.29347     0.29465  -11.144904922   -9.945074774    1.199830149
     1       1     0.44050    -0.14644     0.14762  -10.858285328   -9.560607076    1.297678252
     1       1     0.58753     0.00059     0.00059  -10.420106348   -9.056138095    1.363968253
     1       1    -0.44168     0.14762    -0.14644  -10.853156895   -9.555268589    1.297888306
     1       1    -0.14762     0.14762    -0.14644  -12.099767419  -11.122400221    0.977367199
     1       1    -0.00059     0.29465    -0.29347  -11.235451312  -10.012016034    1.223435278
     1       1    -0.44168    -0.14644     0.14762  -10.853156895   -9.555268589    1.297888306
     1       1    -0.29465     0.00059     0.00059  -11.880554507  -10.824678722    1.055875784
     1       1    -0.14762     0.14762     0.14762  -12.096693171  -11.119235812    0.977457359
     1       1    -0.00059     0.29465     0.00059  -11.880554507  -10.824678722    1.055875785
     1       1     0.14644     0.44168    -0.14644  -10.853635494   -9.555774030    1.297861464
     1       1    -0.29465     0.00059     0.29465  -11.230986442  -10.007390002    1.223596440
     1       1    -0.00059     0.00059     0.29465  -11.880554507  -10.824678722    1.055875784
     1       1     0.14644     0.14762     0.14762  -12.099767419  -11.122400221    0.977367199
     1       1     0.29347     0.29465     0.00059  -11.235451312  -10.012016034    1.223435278
     1       1    -0.14762    -0.14644     0.44168  -10.853156895   -9.555268589    1.297888306
     1       1     0.14644    -0.14644     0.44168  -10.853635494   -9.555774030    1.297861464
     1       1     0.29347     0.00059     0.29465  -11.235451312  -10.012016034    1.223435278
     1       1     0.44050     0.14762     0.14762  -10.857804648   -9.560099529    1.297705119
     1       1    -0.00059    -0.29347    -0.58753  -10.396946326   -9.003350651    1.393595676
     1       1    -0.29465     0.29465     0.00059  -11.230986442  -10.007390002    1.223596440
     1       1    -0.14762     0.44168    -0.14644  -10.853156895   -9.555268589    1.297888306
     1       1     0.58753     0.00059     0.29465  -10.396946326   -9.003350651    1.393595676
     1       1    -0.44168     0.14762     0.14762  -10.852693565   -9.554778575    1.297914990
     1       1    -0.29465     0.29465     0.29465  -11.144935410   -9.945105465    1.199829945
     1       1    -0.14762     0.44168     0.14762  -10.852693565   -9.554778575    1.297914990
     1       1    -0.00059     0.58870     0.00059  -10.420106348   -9.056138095    1.363968253
     1       1     0.14644    -0.44050    -0.14644  -10.858781218   -9.561129988    1.297651231
     1       1    -0.14762     0.14762     0.44168  -10.852693565   -9.554778575    1.297914990
     1       1    -0.00059     0.29465     0.29465  -11.230986442  -10.007390002    1.223596440
     1       1     0.14644     0.44168     0.14762  -10.853156895   -9.555268589    1.297888306
     1       1    -0.29465     0.00059    -0.58753  -10.396946326   -9.003350651    1.393595676
     1       1    -0.00059     0.00059     0.58870  -10.420106348   -9.056138095    1.363968253
     1       1     0.14644     0.14762     0.44168  -10.853156895   -9.555268589    1.297888306
     1       1     0.29347     0.29465     0.29465  -11.144904922   -9.945074774    1.199830149
     1       1    -0.14762    -0.14644    -0.44050  -10.858285328   -9.560607076    1.297678253
     1       1     0.14644    -0.14644    -0.44050  -10.858781218   -9.561129988    1.297651231
     1       1     0.29347     0.00059     0.58870  -10.396946326   -9.003350651    1.393595676
     1       1    -0.14762    -0.44050    -0.14644  -10.858285328   -9.560607076    1.297678253
     1       1    -0.00059    -0.29347    -0.29347  -11.239932886  -10.016658092    1.223274794
     1       1     0.14644    -0.14644    -0.14644  -12.105927414  -11.128739586    0.977187829
     1       1     0.29347     0.00059    -0.29347  -11.239932886  -10.016658092    1.223274794
     1       1    -0.14762    -0.44050     0.14762  -10.857804648   -9.560099529    1.297705119
     1       1    -0.00059    -0.29347     0.00059  -11.886946717  -10.831262660    1.055684058
     1       1     0.29347    -0.29347     0.00059  -11.239932886  -10.016658092    1.223274794
     1       1     0.44050    -0.14644    -0.14644  -10.858781218   -9.561129988    1.297651231
     1       1    -0.00059     0.58870     0.29465  -10.396946326   -9.003350651    1.393595676
     1       1     0.14644    -0.44050     0.14762  -10.858285328   -9.560607076    1.297678253
     1       1    -0.14762     0.14762    -0.44050  -10.857804648   -9.560099529    1.297705120
     1       1    -0.00059     0.29465     0.58870  -10.396946326   -9.003350651    1.393595676
     1       1    -0.44168    -0.14644    -0.14644  -10.853635494   -9.555774030    1.297861464
     1       1    -0.29465     0.00059    -0.29347  -11.235451312  -10.012016034    1.223435278
     1       1    -0.00059     0.00059    -0.29347  -11.886946717  -10.831262660    1.055684058
     1       1     0.14644     0.14762    -0.44050  -10.858285328   -9.560607076    1.297678253
     1       1    -0.29465    -0.29347     0.00059  -11.235451312  -10.012016034    1.223435278
     1       1    -0.14762    -0.14644    -0.14644  -12.102845506  -11.125568151    0.977277356
     1       2    -0.00059     0.00059     0.00059   -0.355305394    1.752218703    2.107524097
     1       2     0.14644     0.14762    -0.14644   -4.304328967   -2.670257427    1.634071540
     1       2     0.29347     0.29465    -0.29347   -6.675275481   -5.463019592    1.212255889
     1       2    -0.14762    -0.14644     0.14762   -4.314646336   -2.680799471    1.633846866
     1       2     0.14644    -0.14644     0.14762   -4.304328967   -2.670257427    1.634071540
     1       2     0.29347     0.00059     0.00059   -4.285721702   -2.588206884    1.697514818
     1       2     0.44050     0.14762    -0.14644   -6.335884339   -4.985977664    1.349906675
     1       2    -0.00059    -0.29347     0.29465   -5.748457155   -4.343917574    1.404539581
     1       2     0.29347    -0.29347     0.29465   -6.675275481   -5.463019592    1.212255889
     1       2     0.44050    -0.14644     0.14762   -6.335884339   -4.985977664    1.349906675
     1       2     0.58753     0.00059     0.00059   -6.842103958   -5.517140782    1.324963176
     1       2    -0.44168     0.14762    -0.14644   -6.340780219   -4.990735481    1.350044738
     1       2    -0.14762     0.14762    -0.14644   -4.314646336   -2.680799471    1.633846866
     1       2    -0.00059     0.29465    -0.29347   -5.748457155   -4.343917575    1.404539580
     1       2    -0.44168    -0.14644     0.14762   -6.340780219   -4.990735481    1.350044737
     1       2    -0.29465     0.00059     0.00059   -4.301064509   -2.603904136    1.697160373
     1       2    -0.14762     0.14762     0.14762   -4.324946568   -2.691327748    1.633618820
     1       2    -0.00059     0.29465     0.00059   -4.301064509   -2.603904136    1.697160373
     1       2     0.14644     0.44168    -0.14644   -6.338398806   -4.988088720    1.350310086
     1       2    -0.29465     0.00059     0.29465   -5.755042535   -4.350569682    1.404472853
     1       2    -0.00059     0.00059     0.29465   -4.301064509   -2.603904136    1.697160373
     1       2     0.14644     0.14762     0.14762   -4.314646336   -2.680799470    1.633846866
     1       2     0.29347     0.29465     0.00059   -5.748457155   -4.343917574    1.404539581
     1       2    -0.14762    -0.14644     0.44168   -6.340780219   -4.990735481    1.350044738
     1       2     0.14644    -0.14644     0.44168   -6.338398806   -4.988088720    1.350310086
     1       2     0.29347     0.00059     0.29465   -5.748457155   -4.343917575    1.404539580
     1       2     0.44050     0.14762     0.14762   -6.338314088   -4.988670647    1.349643441
     1       2    -0.00059    -0.29347    -0.58753   -6.644230609   -5.256677443    1.387553166
     1       2    -0.29465     0.29465     0.00059   -5.755042535   -4.350569682    1.404472853
     1       2    -0.14762     0.44168    -0.14644   -6.340780219   -4.990735480    1.350044738
     1       2     0.58753     0.00059     0.29465   -6.644230609   -5.256677443    1.387553166
     1       2    -0.44168     0.14762     0.14762   -6.343162792   -4.993382694    1.349780098
     1       2    -0.29465     0.29465     0.29465   -6.675237213   -5.462982137    1.212255076
     1       2    -0.14762     0.44168     0.14762   -6.343162792   -4.993382694    1.349780098
     1       2    -0.00059     0.58870     0.00059   -6.842103958   -5.517140782    1.324963176
     1       2     0.14644    -0.44050    -0.14644   -6.333455781   -4.983285160    1.350170621
     1       2    -0.14762     0.14762     0.44168   -6.343162791   -4.993382694    1.349780097
     1       2    -0.00059     0.29465     0.29465   -5.755042535   -4.350569683    1.404472852
     1       2     0.14644     0.44168     0.14762   -6.340780219   -4.990735481    1.350044738
     1       2    -0.29465     0.00059    -0.58753   -6.644230609   -5.256677442    1.387553167
     1       2    -0.00059     0.00059     0.58870   -6.842103958   -5.517140782    1.324963176
     1       2     0.14644     0.14762     0.44168   -6.340780219   -4.990735481    1.350044738
     1       2     0.29347     0.29465     0.29465   -6.675275481   -5.463019592    1.212255889
     1       2    -0.14762    -0.14644    -0.44050   -6.335884339   -4.985977664    1.349906675
     1       2     0.14644    -0.14644    -0.44050   -6.333455781   -4.983285159    1.350170622
     1       2     0.29347     0.00059     0.58870   -6.644230609   -5.256677443    1.387553167
     1       2    -0.14762    -0.44050    -0.14644   -6.335884339   -4.985977663    1.349906676
     1       2    -0.00059    -0.29347    -0.29347   -5.741836416   -4.337233027    1.404603389
     1       2     0.14644    -0.14644    -0.14644   -4.293994321   -2.659701486    1.634292835
     1       2     0.29347     0.00059    -0.29347   -5.741836416   -4.337233027    1.404603389
     1       2    -0.14762    -0.44050     0.14762   -6.338314088   -4.988670647    1.349643441
     1       2    -0.00059    -0.29347     0.00059   -4.285721702   -2.588206884    1.697514818
     1       2     0.29347    -0.29347     0.00059   -5.741836416   -4.337233027    1.404603389
     1       2     0.44050    -0.14644    -0.14644   -6.333455781   -4.983285160    1.350170621
     1       2    -0.00059     0.58870     0.29465   -6.644230609   -5.256677443    1.387553166
     1       2     0.14644    -0.44050     0.14762   -6.335884339   -4.985977663    1.349906676
     1       2    -0.14762     0.14762    -0.44050   -6.338314088   -4.988670647    1.349643441
     1       2    -0.00059     0.29465     0.58870   -6.644230609   -5.256677443    1.387553166
     1       2    -0.44168    -0.14644    -0.14644   -6.338398806   -4.988088720    1.350310086
     1       2    -0.29465     0.00059    -0.29347   -5.748457155   -4.343917575    1.404539580
     1       2    -0.00059     0.00059    -0.29347   -4.285721702   -2.588206884    1.697514818
     1       2     0.14644     0.14762    -0.44050   -6.335884339   -4.985977664    1.349906675
     1       2    -0.29465    -0.29347     0.00059   -5.748457155   -4.343917575    1.404539579
     1       2    -0.14762    -0.14644    -0.14644   -4.304328967   -2.670257427    1.634071540
     1       3    -0.00059     0.00059     0.00059   -0.354907694    1.752616681    2.107524375
     1       3     0.14644     0.14762    -0.14644   -0.915533699    1.093252877    2.008786576
     1       3     0.29347     0.29465    -0.29347   -1.295195170    0.614852590    1.910047760
     1       3    -0.14762    -0.14644     0.14762   -0.917487389    1.091295235    2.008782624
     1       3     0.14644    -0.14644     0.14762   -0.915533699    1.093252877    2.008786576
     1       3     0.29347     0.00059     0.00059   -1.835428834    0.014374391    1.849803225
     1       3     0.44050     0.14762    -0.14644   -3.353011099   -1.772232758    1.580778341
