# q=  0.10000000E-02  0.00000000E+00  0.00000000E+00  (qpt 1)
#ncbands         Re chi(0,0)              extrap   Re chi(Gmax,Gmax)              extrap
       1     -0.89425965E-06      0.00000000E+00     -0.10082628E-04      0.00000000E+00
       2     -0.93847318E-06      0.00000000E+00     -0.23568449E-04      0.00000000E+00
       3     -0.97461243E-06      0.00000000E+00     -0.36108939E-04      0.00000000E+00
       4     -0.98255731E-06      0.00000000E+00     -0.47544997E-04      0.00000000E+00

# q=  0.00000000E+00  0.00000000E+00  0.50000000E+00  (qpt 2)
#ncbands         Re chi(0,0)              extrap   Re chi(Gmax,Gmax)              extrap
       1     -0.48502178E-02      0.00000000E+00     -0.12837995E-04      0.00000000E+00
       2     -0.94236804E-02      0.00000000E+00     -0.21879355E-04      0.00000000E+00
       3     -0.12479908E-01      0.00000000E+00     -0.29169663E-04      0.00000000E+00
       4     -0.15627432E-01      0.00000000E+00     -0.36894467E-04      0.00000000E+00

# q=  0.00000000E+00  0.50000000E+00  0.50000000E+00  (qpt 3)
#ncbands         Re chi(0,0)              extrap   Re chi(Gmax,Gmax)              extrap
       1     -0.57624336E-02      0.00000000E+00     -0.17397423E-04      0.00000000E+00
       2     -0.10848632E-01      0.00000000E+00     -0.30838409E-04      0.00000000E+00
       3     -0.15153262E-01      0.00000000E+00     -0.39136301E-04      0.00000000E+00
       4     -0.19183607E-01      0.00000000E+00     -0.50642027E-04      0.00000000E+00

