# k =  0.00000000E+00  0.00000000E+00  0.00000000E+00 spin= 1
 # n1 <i|Sigma_ch|i> (eV), partial sum
 #      nbands   ch(vbm)          ch(cbm)           diff        converged
       1 -0.68504907E+00 -0.89548398E+00 -0.21043491E+00  0.00000000E+00
       2 -0.84448872E+00 -0.15981843E+01 -0.75369560E+00  0.00000000E+00
       3 -0.11775316E+01 -0.16804647E+01 -0.50293318E+00  0.00000000E+00
       4 -0.45036038E+01 -0.17622803E+01  0.27413236E+01  0.00000000E+00
       5 -0.45721054E+01 -0.47259502E+01 -0.15384485E+00  0.00000000E+00
       6 -0.47055954E+01 -0.48695405E+01 -0.16394512E+00  0.00000000E+00
       7 -0.48027323E+01 -0.49874827E+01 -0.18475041E+00  0.00000000E+00
       8 -0.48857647E+01 -0.51819348E+01 -0.29617011E+00  0.00000000E+00
# k =  0.00000000E+00  0.00000000E+00  0.50000000E+00 spin= 1
 # n1 <i|Sigma_ch|i> (eV), partial sum
 #      nbands   ch(vbm)          ch(cbm)           diff        converged
       1 -0.73212675E+00 -0.49468189E+00  0.23744485E+00  0.00000000E+00
       2 -0.12019032E+01 -0.11914541E+01  0.10449098E-01  0.00000000E+00
       3 -0.15664406E+01 -0.12728158E+01  0.29362473E+00  0.00000000E+00
       4 -0.42961191E+01 -0.14917328E+01  0.28043863E+01  0.00000000E+00
       5 -0.44125787E+01 -0.41477334E+01  0.26484525E+00  0.00000000E+00
       6 -0.45635505E+01 -0.44476007E+01  0.11594982E+00  0.00000000E+00
       7 -0.46577471E+01 -0.46714743E+01 -0.13727260E-01  0.00000000E+00
       8 -0.47683652E+01 -0.47725287E+01 -0.41634812E-02  0.00000000E+00
# k =  0.00000000E+00  0.50000000E+00  0.50000000E+00 spin= 1
 # n1 <i|Sigma_ch|i> (eV), partial sum
 #      nbands   ch(vbm)          ch(cbm)           diff        converged
       1 -0.45714223E+00 -0.34952222E+00  0.10762001E+00  0.00000000E+00
       2 -0.72779109E+00 -0.83118642E+00 -0.10339532E+00  0.00000000E+00
       3 -0.14684890E+01 -0.95216054E+00  0.51632848E+00  0.00000000E+00
       4 -0.40329421E+01 -0.11208733E+01  0.29120687E+01  0.00000000E+00
       5 -0.41134563E+01 -0.38189085E+01  0.29454776E+00  0.00000000E+00
       6 -0.42904703E+01 -0.40057636E+01  0.28470671E+00  0.00000000E+00
       7 -0.46526700E+01 -0.40993963E+01  0.55327373E+00  0.00000000E+00
       8 -0.47255564E+01 -0.44240800E+01  0.30147641E+00  0.00000000E+00
